creationDate,startDate,endDate,value
2023-12-30 10:07:29-04:00,2023-12-30 00:12:26-04:00,2023-12-30 01:08:56-04:00,HKCategoryValueSleepAnalysisAsleepCore
2023-12-30 10:07:29-04:00,2023-12-30 00:12:26-04:00,2023-12-30 01:08:56-04:00,HKCategoryValueSleepAnalysisInBed
2023-12-30 10:07:29-04:00,2023-12-30 01:08:56-04:00,2023-12-30 01:29:26-04:00,HKCategoryValueSleepAnalysisAwake
2023-12-30 10:07:29-04:00,2023-12-30 01:29:26-04:00,2023-12-30 01:36:26-04:00,HKCategoryValueSleepAnalysisAsleepCore
2023-12-30 10:07:29-04:00,2023-12-30 01:29:26-04:00,2023-12-30 01:36:26-04:00,HKCategoryValueSleepAnalysisInBed
2023-12-30 10:07:29-04:00,2023-12-30 01:36:26-04:00,2023-12-30 01:36:56-04:00,HKCategoryValueSleepAnalysisAwake
2023-12-30 10:07:29-04:00,2023-12-30 01:36:56-04:00,2023-12-30 01:45:56-04:00,HKCategoryValueSleepAnalysisAsleepCore
2023-12-30 10:07:29-04:00,2023-12-30 01:36:56-04:00,2023-12-30 01:45:56-04:00,HKCategoryValueSleepAnalysisInBed
2023-12-30 10:07:29-04:00,2023-12-30 01:45:56-04:00,2023-12-30 01:53:26-04:00,HKCategoryValueSleepAnalysisAwake
2023-12-30 10:07:29-04:00,2023-12-30 01:53:26-04:00,2023-12-30 02:21:26-04:00,HKCategoryValueSleepAnalysisAsleepCore
2023-12-30 10:07:29-04:00,2023-12-30 01:53:26-04:00,2023-12-30 02:21:26-04:00,HKCategoryValueSleepAnalysisInBed
2023-12-30 10:07:29-04:00,2023-12-30 02:21:26-04:00,2023-12-30 02:25:26-04:00,HKCategoryValueSleepAnalysisAwake
2023-12-30 10:07:29-04:00,2023-12-30 02:25:26-04:00,2023-12-30 02:27:56-04:00,HKCategoryValueSleepAnalysisAsleepCore
2023-12-30 10:07:29-04:00,2023-12-30 02:25:26-04:00,2023-12-30 02:27:56-04:00,HKCategoryValueSleepAnalysisInBed
2023-12-30 10:07:29-04:00,2023-12-30 02:27:56-04:00,2023-12-30 02:28:26-04:00,HKCategoryValueSleepAnalysisAwake
2023-12-30 10:07:29-04:00,2023-12-30 02:28:26-04:00,2023-12-30 02:39:56-04:00,HKCategoryValueSleepAnalysisAsleepCore
2023-12-30 10:07:29-04:00,2023-12-30 02:28:26-04:00,2023-12-30 02:39:56-04:00,HKCategoryValueSleepAnalysisInBed
2023-12-30 10:07:29-04:00,2023-12-30 02:39:56-04:00,2023-12-30 02:41:26-04:00,HKCategoryValueSleepAnalysisAwake
2023-12-30 10:07:29-04:00,2023-12-30 02:41:26-04:00,2023-12-30 02:44:56-04:00,HKCategoryValueSleepAnalysisAsleepCore
2023-12-30 10:07:29-04:00,2023-12-30 02:41:26-04:00,2023-12-30 02:44:56-04:00,HKCategoryValueSleepAnalysisInBed
2023-12-30 10:07:29-04:00,2023-12-30 02:44:56-04:00,2023-12-30 02:45:56-04:00,HKCategoryValueSleepAnalysisAwake
2023-12-30 10:07:29-04:00,2023-12-30 02:45:56-04:00,2023-12-30 02:48:26-04:00,HKCategoryValueSleepAnalysisAsleepCore
2023-12-30 10:07:29-04:00,2023-12-30 02:45:56-04:00,2023-12-30 02:48:26-04:00,HKCategoryValueSleepAnalysisInBed
2023-12-30 10:07:29-04:00,2023-12-30 02:48:26-04:00,2023-12-30 02:51:26-04:00,HKCategoryValueSleepAnalysisAwake
2023-12-30 10:07:29-04:00,2023-12-30 02:51:26-04:00,2023-12-30 03:05:26-04:00,HKCategoryValueSleepAnalysisAsleepCore
2023-12-30 10:07:29-04:00,2023-12-30 03:05:26-04:00,2023-12-30 03:20:56-04:00,HKCategoryValueSleepAnalysisAsleepREM
2023-12-30 10:07:29-04:00,2023-12-30 02:51:26-04:00,2023-12-30 03:20:56-04:00,HKCategoryValueSleepAnalysisInBed
2023-12-30 10:07:29-04:00,2023-12-30 03:20:56-04:00,2023-12-30 03:21:26-04:00,HKCategoryValueSleepAnalysisAwake
2023-12-30 10:07:29-04:00,2023-12-30 03:21:26-04:00,2023-12-30 03:29:26-04:00,HKCategoryValueSleepAnalysisAsleepCore
2023-12-30 10:07:29-04:00,2023-12-30 03:29:26-04:00,2023-12-30 03:33:56-04:00,HKCategoryValueSleepAnalysisAsleepREM
2023-12-30 10:07:29-04:00,2023-12-30 03:21:26-04:00,2023-12-30 03:33:56-04:00,HKCategoryValueSleepAnalysisInBed
2023-12-30 10:07:29-04:00,2023-12-30 03:33:56-04:00,2023-12-30 03:35:26-04:00,HKCategoryValueSleepAnalysisAwake
2023-12-30 10:07:29-04:00,2023-12-30 03:35:26-04:00,2023-12-30 04:40:56-04:00,HKCategoryValueSleepAnalysisAsleepCore
2023-12-30 10:07:29-04:00,2023-12-30 03:35:26-04:00,2023-12-30 04:40:56-04:00,HKCategoryValueSleepAnalysisInBed
2023-12-30 10:07:29-04:00,2023-12-30 04:40:56-04:00,2023-12-30 04:42:26-04:00,HKCategoryValueSleepAnalysisAwake
2023-12-30 10:07:29-04:00,2023-12-30 04:42:26-04:00,2023-12-30 04:46:56-04:00,HKCategoryValueSleepAnalysisAsleepCore
2023-12-30 10:07:29-04:00,2023-12-30 04:42:26-04:00,2023-12-30 04:46:56-04:00,HKCategoryValueSleepAnalysisInBed
2023-12-30 10:07:29-04:00,2023-12-30 04:46:56-04:00,2023-12-30 04:48:26-04:00,HKCategoryValueSleepAnalysisAwake
2023-12-30 10:07:29-04:00,2023-12-30 04:48:26-04:00,2023-12-30 04:58:56-04:00,HKCategoryValueSleepAnalysisAsleepCore
2023-12-30 10:07:29-04:00,2023-12-30 04:58:56-04:00,2023-12-30 05:00:26-04:00,HKCategoryValueSleepAnalysisAsleepREM
2023-12-30 10:07:29-04:00,2023-12-30 04:48:26-04:00,2023-12-30 05:00:26-04:00,HKCategoryValueSleepAnalysisInBed
2023-12-30 10:07:29-04:00,2023-12-30 05:00:26-04:00,2023-12-30 05:03:26-04:00,HKCategoryValueSleepAnalysisAwake
2023-12-30 10:07:29-04:00,2023-12-30 05:03:26-04:00,2023-12-30 05:09:56-04:00,HKCategoryValueSleepAnalysisAsleepCore
2023-12-30 10:07:29-04:00,2023-12-30 05:03:26-04:00,2023-12-30 05:09:56-04:00,HKCategoryValueSleepAnalysisInBed
2023-12-30 10:07:29-04:00,2023-12-30 05:09:56-04:00,2023-12-30 05:12:56-04:00,HKCategoryValueSleepAnalysisAwake
2023-12-30 10:07:29-04:00,2023-12-30 05:12:56-04:00,2023-12-30 05:27:26-04:00,HKCategoryValueSleepAnalysisAsleepCore
2023-12-30 10:07:29-04:00,2023-12-30 05:27:26-04:00,2023-12-30 05:39:56-04:00,HKCategoryValueSleepAnalysisAsleepREM
2023-12-30 10:07:29-04:00,2023-12-30 05:39:56-04:00,2023-12-30 06:11:56-04:00,HKCategoryValueSleepAnalysisAsleepCore
2023-12-30 10:07:29-04:00,2023-12-30 05:12:56-04:00,2023-12-30 06:11:56-04:00,HKCategoryValueSleepAnalysisInBed
2023-12-30 10:07:29-04:00,2023-12-30 06:11:56-04:00,2023-12-30 06:12:56-04:00,HKCategoryValueSleepAnalysisAwake
2023-12-30 10:07:29-04:00,2023-12-30 06:12:56-04:00,2023-12-30 06:31:26-04:00,HKCategoryValueSleepAnalysisAsleepCore
2023-12-30 10:07:29-04:00,2023-12-30 06:12:56-04:00,2023-12-30 06:31:26-04:00,HKCategoryValueSleepAnalysisInBed
